;Nombre;NIF;Localidad;País;Inmovilizado_Inmaterial;Fecha_Constitucion;Last_year;ROA23;Total_Activo;Ingresos_Explotacion;Empleados;Ratio_Liquidez;Ratio_Solvencia;CNAE;Ratio_Endeudamiento;EBITDA;Resultado_Ejercicio
1.;BLUEVIA FIBRA SL.;B10889285;MADRID;ESPANA;1.441.835;05/07/2022;31/12/2024;-4,63;2.515.042;179.786;38;73,33;0,73;6110;10,64;122.957;-95.877
2.;TOTEM TOWERCO SPAIN SL.;B16951881;MADRID;ESPANA;1.253;24/09/2021;31/12/2024;14,58;348.003;194.654;50;245,71;2,46;6120;3,57;83.498;38.299
3.;ELANTA REDES DE ACCESO SL.;B02944809;MADRID;ESPANA;439.278;17/12/2020;31/12/2024;6,02;692.876;98.563;14;265,04;2,65;6190;43,75;71.610;22.803
4.;ALBERGUEROIL SL.;B09944976;GIJON;ESPANA;n.d.;22/03/2022;31/12/2023;53,69;1.835;80.183;4;236,8;2,37;6190;0;985;837
5.;AVATEL MOVIL SL.;B88586672;ALCOBENDAS;ESPANA;475;04/02/2020;31/12/2023;0,72;19.472;65.316;22;40,31;0,4;6190;17,18;1.484;84
6.;DIGITAL DHF IBERIA SLU;B10625358;ALCALA DE HENARES;ESPANA;563;26/04/2022;31/12/2024;2,28;306.854;58.583;17;109,48;1,09;6311;3,83;24.644;5.356
7.;BLUETILE GAMES, S.L.;B67449488;BARCELONA;ESPANA;302;03/06/2019;31/12/2023;15,59;12.799;46.513;8;148,84;1,49;6201;0;2.074;1.438
8.;BLACKOUT LAB S.L.;B67427971;BARCELONA;ESPANA;101;26/04/2019;31/12/2024;124,71;10.622;39.379;1;106,6;1,07;5821;33,89;13.281;9.738
9.;PICO INTERACTIVE EUROPE S.L.;B67452417;BARCELONA;ESPANA;n.d.;28/05/2019;31/12/2023;3,37;40.154;32.048;14;120,09;1,2;6209;43,26;1.365;2.077
10.;CIMCORP IBERIA SL.;B88430061;MADRID;ESPANA;n.d.;28/06/2019;31/12/2024;0,53;8.462;1.885;11;107,42;1,07;6209;11,98;45;33
11.;BESTPLAY SYSTEMS S.L.;B56446644;BARCELONA;ESPANA;289;26/09/2023;31/12/2024;-2,26;1.188;276;1;72,43;0,72;6201;85;-14;-45
12.;TLS LABS SERVICE IBERIA SL.;B88508064;MADRID;ESPANA;n.d.;24/10/2019;31/12/2024;27,42;3.644;17.639;2;162,29;1,62;6190;1,58;999;764
13.;PENTACOM INVESTMENTS SPAIN OPCO SL.;B88368881;POZUELO DE ALARCON;ESPANA;95.839;12/04/2019;31/03/2024;1,1;218.352;22.229;18;277,47;2,77;6190;92,69;13.244;-12.199
14.;NEW CLOUD TECHNOLOGIES LATAM SL.;B56907926;MADRID;ESPANA;n.d.;04/01/2024;31/12/2024;n.d.;n.d.;n.d.;1;n.d.;n.d.;6209;n.d.;n.d.;n.d.
15.;SATRONICS IBERIA SL.;B88402367;VITORIA-GASTEIZ;ESPANA;1.281;28/05/2019;31/12/2024;13,69;10.063;18.312;18;126,43;1,26;2630;0,02;2.832;1.138
16.;SIRT SECURITY SERVICES FDO S.L.;B09958141;BARCELONA;ESPANA;n.d.;24/03/2022;31/12/2024;-23,24;1;n.d.;22;11.446,88;114,47;6202;0;0;0
17.;GLOBAL RUSALKA SL.;B88585294;MADRID;ESPANA;n.d.;03/02/2020;31/12/2022;n.d.;n.d.;n.d.;15;n.d.;n.d.;6190;n.d.;n.d.;n.d.
18.;GTT COMMUNICATIONS SPAIN SL.;B88399753;MADRID;ESPANA;1.054;30/04/2019;31/12/2024;1,56;21.410;13.615;30;78,38;0,78;6190;22,81;1.239;-45
19.;BANDAI NAMCO MOBILE SL;B67487793;BARCELONA;ESPANA;1.393;01/08/2019;31/03/2024;11,06;15.802;13.869;47;872,92;8,73;5821;0,14;1.987;1.603
20.;OKORE TECH SL.;B16930265;MADRID;ESPANA;533;28/09/2021;31/12/2024;9,8;2.016;25.948;22;143,77;1,44;6209;37,19;472;148
21.;AVATEL TELEVISION SLU;B88592423;ALCOBENDAS;ESPANA;13.821;11/02/2020;31/12/2023;3,4;17.789;12.480;16;3,26;0,03;6190;89,99;7.686;245
22.;INFRAESTRUCTURES I SERVEIS DE TELECOMUNICACIONS I CERTIFICACIO SA.;A40573396;BURJASSOT;ESPANA;95;19/07/2019;31/12/2024;9,42;6.584;6.340;33;175,01;1,75;6190;37,07;811;505
23.;NETSKOPE SPAIN SL.;B88390349;MADRID;ESPANA;n.d.;10/05/2019;31/12/2022;n.d.;n.d.;n.d.;48;n.d.;n.d.;6201;n.d.;n.d.;n.d.
24.;INFONET WEB GROUP S.L.;B67620658;BARCELONA;ESPANA;171;08/05/2020;31/12/2024;183,16;2.185;11.438;27;114,5;1,15;6209;0;4.049;3.001
25.;ONRETRIEVAL GROUP SLU.;B56767627;MADRID;ESPANA;n.d.;04/12/2023;31/12/2024;n.d.;n.d.;n.d.;29;n.d.;n.d.;6201;n.d.;n.d.;n.d.
26.;ONMOVIL COMUNICACIONES MOVILES SL.;B88609540;ALCOBENDAS;ESPANA;n.d.;27/02/2020;31/12/2024;2,19;2.056;8.719;3;132;1,32;6190;89,96;84;-49
27.;SERCOM RECARGAS SL.;B42761189;ALCOBENDAS;ESPANA;59;18/01/2021;31/12/2024;8,38;309;3.715;2;82,86;0,83;6190;0,13;45;18
28.;IDISTEK ELECTRONIC MANUFACTURING SL.;B75238634;HERNANI;ESPANA;1;30/03/2020;31/12/2024;1,53;4.642;8.906;40;192,32;1,92;2630;1,31;282;105
29.;VIRTUALED ONLINE EDUCATION SL.;B16730392;MADRID;ESPANA;n.d.;21/07/2021;31/12/2024;61,3;6.246;7.587;3;470,12;4,7;6201;0;3.829;2.152
30.;YESO COMPUTING SL.;B01917020;MADRID;ESPANA;n.d.;10/09/2020;31/12/2021;n.d.;n.d.;n.d.;6;n.d.;n.d.;6209;n.d.;n.d.;n.d.
31.;TRICISE SOCIEDAD LIMITADA.;B40656654;VALENCIA;ESPANA;n.d.;21/04/2020;31/12/2024;1,17;453;13.085;3;104,58;1,05;6202;0;5;12
32.;STARSENSE TECH S.L.;B02697704;BARCELONA;ESPANA;n.d.;20/10/2020;31/12/2024;59,91;682;5.179;17;240,69;2,41;6209;0,23;427;242
33.;KINTECH INSTRUMENTS SL.;B56281843;ZARAGOZA;ESPANA;6;02/08/2023;31/12/2024;15;3.879;2.227;23;481,25;4,81;2651;0;583;477
34.;HEETCH EUROPE S.L.;B13768239;BARCELONA;ESPANA;n.d.;09/05/2023;31/12/2023;-7,63;2.758;8.402;7;92,38;0,92;6201;9,31;-210;-209
35.;ALEA IBERIA S.L.;B67552364;BARCELONA;ESPANA;991;03/12/2019;31/12/2024;18,05;2.361;4.954;41;82,43;0,82;6201;40,52;1.129;338
36.;FRACTALIA CIBERALARMA SYSTEMS SL.;B72482664;TRES CANTOS;ESPANA;1.022;07/09/2022;31/12/2024;34;4.763;5.741;48;271,8;2,72;6209;28,03;1.952;1.213
37.;NEURTEK SL.;B75231431;EIBAR;ESPANA;227;12/11/2019;31/12/2024;4,78;5.143;7.440;22;246,14;2,46;2651;7,91;308;264
38.;SOLUTIA DIGITAL HEALTH SOCIEDAD LIMITADA.;B90430562;SEVILLA;ESPANA;289;28/03/2019;31/12/2024;7,71;17.051;15.976;23;102,93;1,03;6209;8,9;1.440;989
39.;INISATRE S.L.;B04963781;BARCELONA;ESPANA;n.d.;08/03/2021;31/12/2024;11,83;1.510;3.945;20;95,76;0,96;6311;97,71;179;74
40.;G4AL ENTERTAINMENT S.L.;B16753725;BARCELONA;ESPANA;1.018;27/07/2021;31/12/2023;32,22;7.793;7.347;24;257,62;2,58;6209;0,51;3.415;2.039
41.;TRC BAT SOCIEDAD LIMITADA.;B56365497;BILBAO;ESPANA;n.d.;06/09/2023;31/12/2024;-9,67;267;1.162;6;89,94;0,9;6209;86,19;-26;-26
