Nombre;ROA2024
BLUEVIA FIBRA SL.;-4,05
TOTEM TOWERCO SPAIN SL.;14,95
ARTXIBET 2022 SA.;74,77
ELANTA REDES DE ACCESO SL.;3,52
ALBERGUEROIL SL.;53,69
AVATEL MOVIL SL.;0,72
DIGITAL DHF IBERIA SLU;2,27
PLAYVALVE S.L.;15,59
AIR EUROPA HOLDING SL.;0,99
BLACKOUT LAB S.L.;124,71
PICO INTERACTIVE EUROPE S.L.;3,37
CIMCORP IBERIA SL.;3,55
BESTPLAY SYSTEMS S.L.;1,63
EA SERVICIOS EXPLOTACION NUCLEARES GNIT SL.;4,11
TLS LABS SERVICE IBERIA SL.;41,89
BARADINE INVEST SL.;16,49
PENTACOM INVESTMENTS SPAIN OPCO SL.;1,1
NEW CLOUD TECHNOLOGIES LATAM SL.;51,44
SATRONICS IBERIA SL.;13,59
HEADANDTAIL SERVICES S.L.;49,08
PLATAFORMA DE RENTING TECNOLOGICO SL.;-18,67
SIRT SECURITY SERVICES FDO S.L.;6,09
GLOBAL RUSALKA SL.;-29,2
MESIA 523 ASSET MANAGEMENT SL.;1,54
GTT COMMUNICATIONS SPAIN SL.;9,03
PURO DIGITAL AND STUDIO S.L.;17,17
BANDAI NAMCO MOBILE SL;11,06
GRUPOESP HOLDINGS SL.;2,32
OKORE TECH SL.;12,46
PROSOL INGENIERIA SLU;-7,08
TRICISE SOCIEDAD LIMITADA.;1,17
AVATEL TELEVISION SLU;3,4
INFRAESTRUCTURES I SERVEIS DE TELECOMUNICACIONS I CERTIFICACIO SA.;9,84
NETSKOPE SPAIN SL.;-9,89
INFONET WEB GROUP S.L.;218,04
ONRETRIEVAL GROUP SLU.;11,48
ONMOVIL COMUNICACIONES MOVILES SL.;20,03
SERCOM RECARGAS SL.;27,16
IDISTEK ELECTRONIC MANUFACTURING SL.;-19,76
VIRTUALED ONLINE EDUCATION SL.;63,77
YESO COMPUTING SL.;1,86
KINTECH INSTRUMENTS SL.;35,38
HEETCH EUROPE S.L.;-7,63
ALEA IBERIA S.L.;26
FRACTALIA CIBERALARMA SYSTEMS SL.;37,71
CANADIAN SOLAR MSS IBERIA SL.;74,63
SOLUTIA DIGITAL HEALTH SOCIEDAD LIMITADA.;24,04
NEURTEK SL.;4,78
G4AL ENTERTAINMENT S.L.;32,22
TRC BAT SOCIEDAD LIMITADA.;6,11
GUUK TELECOM SA.;3,47
INTERAMPLIFY EUROPEAN SEO DIVISION SL.;58,84
SYNLAB SERVICES S.L.;-72,49
NUCLEO TECHNOLOGY INVESTMENTS SL;43,42
FASTLY CLOUD IBERICA SL.;20,48
IMPULSAMI SL.;14,44
PROCESS CONTROL TECHNOLOGY S.L.;11,68
L.K. BITRONIC S.A.;23,52
